text,label
রানু মন্ডল নিজেকে শেষ করে দিলেন। ,Personal
"এদিকে রুপার বুকে তিল আছে, এটা আমার ভাইয়া কিভাবে জানতে পারলো, ভাবতে থাকা হিমু। ",Personal
"তাদের পরিকল্পনা ছিল, নিজেদের ভিডিও করে পর্ণগ্রাফিতে ছেড়ে টাকা ইনকাম। ",Personal
অনেকদিন পর জেলে যাচ্ছি তাই পুলিশের সাথে সেলফি। ,Personal
নায়ককে মারার জন্য অনেক গুন্ডা পাঠায় তখন গুন্ডা আর নায়ক। ,Personal
"পলাশীর যুদ্ধ শেষে মীরজাফর, আপনার সাথে একটু বেইমানি করছি, কিছু মনে কইরেন না।",Geopolitical
"করিডোর, অবকাঠামো সব ভারতের, চুক্তি অনুযায়ী আমরা কাঠালের বিচিগুলো পাবো তো? ",Geopolitical
বাবা বলোতো বেনানা শব্দের অর্থ কি? যার কোন নানা নাই তাকেই বেনানা বলে। ,Neutral
ভাই ভাবীকে নিয়ে আসেন নি? না স্যার! ও প্রেগন্যান্ট। ,Neutral
এই মেয়ের সাহস দেখলে অবাক হয়ে যাবেন। ,Personal
"রিলেশনটা কতো দিনের সেটা বড়ো বিষয় নয়, তার কাছে তোমার গুরুত্ব কতোটা সেটাই বড়ো বিষয়। ",Neutral
"তুই আর আমি তো একই, দুইজনেই গান গাই। ",Neutral
দালালের কাছ থেকে সিরিয়াল কিনে পরীক্ষা। ,Personal
চোরাই বিয়া খাওয়ার সময় যখন দুই পক্ষের লোক আপনাদের  দিকে আসতে থাকে। ,Neutral
আনুশকা দিহান ইস্যু নিয়ে বাঘের গর্জন দিলেন বেনজির আহমেদ আইজিপি। ,Personal
এখনকার দিনে ৭০% মেয়েরা এভাবে সেলফি তোলে। ,Neutral
ইশ! আবার ইংরেজী মারাও ?  ওয়ান টু তে খালাস কইরা দিমু।,Personal
"ছোট বাই এর এই অবস্থা দেখে আমি, যেমন কর্ম তেমন ফল। ",Neutral
এখানে যতœসহকারে এক্সদের চাবকে সোঁজা করে দেয়া হয়। ,Personal
"কি কইতাম, অমানুষের বাচ্চাগরে। কি আর বলা যায় এই অমানুষের বাচ্চাগোরে?",Personal
যখন দেখি চাচাতো ভাই আমার সর্বনাশ করতে যেয়ে আরো উল্টা সে-ই অপমানিত হচ্ছে। ,Neutral
"আরে চলবে চলবে, যা আনছো দেখাও তারাতারি। ",Neutral
"কোনো উপায় না দেখে বাড়িতে যখন বলি, আব্বু আমি বিয়ে করতে চাই । ",Neutral
"রাগ উঠলে মাথা ঠিক থাকে না, মাথাটা একদম গরম হইয়া যায়। ",Personal
আবার ভারতীয় পতাকার শাড়ি পড়ে হাসিনা বাংলাদেশের স্বাধীনতা দিবসের রাষ্ট্রীয় অনুষ্ঠানে। ,Geopolitical
"এই,আমার জুতাটা সুন্দর হইসে না? বসুন্ধরা সিটি থেকে কিনেছি। ",Neutral
থলের বিড়াল বেরিয়ে আসা শুরু করলেই হায়নারা ক্রসফায়ার নাটক শুরু করে। ,Geopolitical
অনেকদিন পর স্কুলে আসায় একটু ভাব নিয়ে ঢুকতেছি। ,Neutral
"তেমন কিছু না, শুক্রবারে জুম্মার পর আল্লাহর কাছে মনেপ্রাণে দোয়া করছি যাতে আমার তাড়াতাড়ি বিয়ে হয়। ",Neutral
আজকে আমি পড়াব কি জানো? বাংলা সিনেমার ইতিকথা। ,Neutral
৫ বছর আগের জীবনানন্দ দাস চত্বর আর এখনকার জীবনানন্দদাস চত্বর। ,Neutral
ভালবাসা দিবি কিনা বল? কেউ আমারে বাঁচা। ,Neutral
চিনে রাখুন এই মালাউনটি কে। এই মালাউন হলো দেশদ্রোহী। ,Religious
"ধরা খাইলে জামিন নাই, ধরা খাইলে গুষ্টি মারা সারা।  ",Personal
তরে মাইরা আমি ঘুমামু।  তোরে না মাইরা আমি ঘুমামু না। ,Personal
"এদিকে কোমা থেকে উঠে যখন জীনকে দেখে বলি, আরে হোয়াটস আপ ব্রো! আমার সাহস দেখে বেচারা জীন। ",Neutral
"ঈদ শপিং নিয়ে মাথা ব্যাথা নেই, তাহলে আপনি বড় হয়ে গেছেন। ",Neutral
"শিবির রগ কাটে আর ছাত্রলীগ মাথা কাটে, পুলিশ সেই মাথা খুঁজে বেড়ায়। ",Geopolitical
"চুদে চাটনি, বেকার খাটনি। ",Personal
গ্যাস বিক্রি করতে রাজী হইনি বলে ২০০১ এ ক্ষমতায় আসতে পারিনি। ,Political
"তুই যদি আমার হইতি, আমি হইতাম তোর। না বানাইতাম যদ্ধাপরাধী, না বানাইতাম চোর।",Geopolitical
"বৃষ্টিতে ধুয়ে গেছে রক্তের লাল, মুছেনি তো হৃদয়ের দগদগে ক্ষত।",Religious
"কি সাংঘাতিক মেয়েরে বাবা, পাশে বসে ঘাড়ে হাত দিতে বলে। ",Personal
মাওলানা নিজামীল রিভিউ খরিজের আগে ভারতীয় হাইকমিশনারের বৈঠক প্রধান বিচারপতির সাথে। ফাঁসির পর হাসিনাকে আমন্ত্রণ। ,Geopolitical
এই কাঁটা ঘায়ে চিলি সস দেবে না। ,Neutral
সাব্বির নামের ছেলেদের জন্মই হয়েছে কাজের মেয়েদের সাথে প্রেম করার জন্য। ,Neutral
যেীন জাগরনের এইডস সরকারের অবস্থা দেখুন। রাস্তার মধ্যে তেতুল লীলায় মেতে উঠেছে। ,Personal
"তিতলি আমাকে একবার দে, আমিও একটু উড়াই। ",Neutral
দেশের বাজারে সয়লাব ভারতীয় ভোজাল খাবার অবাধে চলছে। বাংলাদেশে এসব পণ্য নিষিদ্ধ করতে হবে। ,Geopolitical
গ্রিন টি টা কোন কেঁটলিতে পাবো ?,Neutral
পরীক্ষার সময় প্রশ্নের উত্তর না লিখতে পারার জন্য মোহর কে উত্তর কানে কানে বলে দিয়ে সাহায্য করছে শঙ্খ স্যার। ,Neutral
ঢাকা থেকে চট্টগ্রামে যাবেন মাত্র ৫৫ মিনিটে।,Neutral
"প্রিয়! হয় ভালোবাসো না হয় ঘৃণা করো, মাঝামাঝি রেখো না। ",Neutral
বিড়ালের গলায় ঘন্টা বাধার প্রস্তাব দেয়া ইঁদুরকেই যখন বিড়ালের গলায় ঘন্টা বাধতে বল হয়। ভাই আমার এত সাহস নাই। ,Personal
"জানি সব ধ্বংস হয়ে যাবে, তাও একটা শেষ চেষ্টা করবো। ",Neutral
"একি ভয়াবহ সত্য ফাস হলো, আদালতে কাদতে কাদতে একি বলল দিহান? ",Personal
বিয়েতে ১ লক্ষ টাকা যৌতুকে রাজি হবার পর যখন শালী জুতা চুরি করে ৫০ হাজার টাকা আবদার করে। ,Neutral
যশোরে আওয়ামীলীগ নেতার চাপে দেড় শতাধিক হিন্দু পরিবারের দেশত্যাগ। ,Geopolitical
"আপনারা দুই ভাই নাকি? হ্যাঁ, কিন্ত আপনি জানলেন কীভাবে? ",Neutral
"আজকে জুম্মার দিন বলে একটা পিক তুল্লাম ফেসবুক এ  জুম্মা মোবারক লিখে আপলোড দিব বলে।, ",Neutral
"পাত্র চাই উচ্চতা ৫.৬ ইঞ্চি বেকার হলেও চলবে চাকরি, আব্বাই দিব। ",Neutral
"আমি,আমার পানি খাওয়ার মগ ও বাসায় আসা আত্মীয়। ",Neutral
"পুলিশ একদিনে ১৮০০ জঙ্গি ধরে, কিন্তু ৬ জন জঙ্গিকে ধরতে আর্মি প্রয়োজন হয়। ",Personal
তেমন কিছু না মসজিদে মিলাদের বিরিয়ানি দিবে তাই দৌড়ে যাচ্ছে । ,Neutral
"মেয়েরা অন্যান্য সময়, মেয়েরা ফুসকা খাওয়ার সময়। ",Neutral
টি দিয়ে যাদের নাম শুরু হয় তারা টাকা ছাড়া কিছুই বোঝে না। ,Neutral
কলকাতায় কালীপূজা উদ্বোধন করলেন সাকিব। যশোরে সেলফি তুলতে চাওয়ায় ভক্তের ফোন ছুড়ে ফেললেন। ,Religious
ভারত আমাদের শত্রু বুঝতে পারাই বড় অর্জন। ,Geopolitical
১০ কি.মি. হেটে বাবার বিরুদ্ধে অভিযোগ জানাতে থানায় মেয়ে। ,Neutral
যাদের নাম টি বা এন দিয়ে শুরু হয় তাদের এক্সের সংখ্যা প্রচুর।,Neutral
"একদিন আমি বাসের হেল্পার হবো, তোমার বাসার পাশ দিয়ে যাওয়ার সময় চিল্লাইয়া বলবো, ওস্তাদ সাবধান, ডাইনে বেঈমান। ",Personal
তুই শালা জাতীয় বেইমান।  তোরে আমি বিশ^াস করি না শালা। ,Personal
"রানু পাগলীর গান এর আওয়াজ সবার কানে পৌছায়, কাস্মীরের মুসলমানদের আওয়াজ কানে পৌছায় না। ",Personal
দিহান আনুশকার আসল ঘটনা ফাঁস করল চরমোনাই পীর। ,Personal
ভালোবাসার মানুষকে বিয়ে করার জন্য হলেও পড়তে বসুন। ,Neutral
"সন্তানরা খোঁজ নেন না, সম্পত্তি লিখে দিলেন কুকুরকে। ",Personal
তুই আমারে চ্যালেঞ্জ করতাছোস?   তোরে আমি কিন্তু দেখাইয়া দিমু। ,Personal
এই শালা তোর বন্ধু কই?   তোর বন্ধুরে আমার সামনে ডেকে আন। ,Personal
অবশেষে হেফাজত ইসলামের শাপলা চত্তরে হত্যার সকল প্রমানসহ গোপন তথ্য ফাঁস। ,Personal
যেসব বুদ্ধিজীবীরা খালেদার পক্ষে কথা বলে তারা শুয়োরের বাচ্চা থেকেও খারাপ। ,Geopolitical
এইচএসসি পরীক্ষার্থীদের বর্তমান অবস্থা। ,Neutral
মিগ-২৯ বিমানকে আমেরিকা এতো ভয় পায় কেন? ,Geopolitical
"ভারতের সঙ্গে বন্ধুত্বকে আমরা খুব গুরুত্ব দিয়ে থাকি, গুরুত্ব না দিলে তো আওয়ামীলীগের গোয়া মারা সারা। ",Geopolitical
"যখন আমি থাকবো না, কি করবি রে বোকা? ",Neutral
"যখন তিনি বলেন যে, বইয়ের সবটুকু পড়ে এসো, খুব উপকার হইল। ",Neutral
পাড়ার ক্রিকেটে ছয় মেরে বল হারিয়ে ফেলার পর যখন নতুন বল কিনে দিতে হয়। ,Neutral
হাই! ভুলে গেলে নাকি আমাকে? ,Neutral
"চলো বাবা, আজকে একটা দাওয়াত খেয়ে আসবো, আম্মু পোলাও রোস্ট সবই তো খাইলাম কিন্তু দাওয়াত কই? ",Neutral
আনুশকার মৃত্যুতে মানববন্ধন ৮ দফা দাবি শিক্ষার্থীদের। ,Personal
সাকিব আল হাসান কলকাতায় গিয়ে কালীপূজা উদ্বোধন সম্পর্কে ইসলাম কি বলে? ,Religious
হিংসুক ভক্তার কাহিনী দেখুন।  সে কিভাবে হিংসা ছড়ায় না দেখলে বিশ^াস করবেন না। ,Personal
দোস্ত কপি কর জাস্ট একটু ঘুরায়া লিখিস। ,Neutral
"পাড়ায় যখন নতুন কোন মেয়ে আসে তখন আমি, আমাকে এই মালটার সাথে প্রেম করতেই হবে। ",Neutral
বাংলাদেশি ও রোহিঙ্গাদের গুলি করা উচিৎ। ,Geopolitical
"এই তুমি দাড়ি রাখো না কেন? দাড়ি রাখলে বয়স বেশি লাগে। তাইলে দাতগুলাও ফেলে দাও, দুধের বাচ্চা লাগবে। ",Neutral
"খায়া দিসে, বাঘ মামা খায়া দিসে খায়া দিসে। ",Neutral
"স্বৈরতন্ত্র নিপাত যাক, গণতন্ত্র মুক্তি পাক। ",Political
এই সেই বাড়ি যেখানে ধর্ষন হয় আনুশকা। ,Personal
"আপনি পারলে আমার নামে মামলা করেন, টকশোতে তুমুল ঝসড়া। রাশেদ ও তুরিন আফরোজের। ",Personal
রাতে হালকা শীত লাগলে আমি যেভাবে কাথা টেনে নিয়ে গায় দেই। ,Neutral
জবা কি পারবে হ্যান্ডেল মারতে? ,Personal
"আমি গতকাল মেয়েটিকে বললাম বাসায় পৌছে কল দিতে, মেয়েটার মনে হয় বাসা নাই। ",Neutral
এখানে পতাকার অবমাননা হয়নি! পতাকাকে জায়নামাজ বানিয়ে নামাজ পড়লেই কেবল পতাকার ইজ্জত যায়। ,Personal
"একদিন কুদ্দুস এসে যখন আমাকে বলল, ভাই, দেখতাছি আপনে খুব টেনশনে আছেন।",Neutral
আমি এদেশে থাকবো না ভাই। আমি চলে গেলাম বিদায় পৃথিবী। ,Personal
বাংলাদেশে একটি গোপন হামলায় খৃষ্টধর্ম গ্রহনকারী এবং খৃস্টধর্মের প্রচারকারী এক মুরতাদকে হত্যা। ,Religious
যাওয়া ঠিক হবে না। মাইরধর করতে পারে।,Personal
"টাকা সঞ্চয় করার জন্য বাজেট করা আামি, আর আমার বদভ্যাস। ",Neutral
দুর! মিয়া বোতলের সাইজ এত ছোট কে? স্যার আমি তো আপনার আর আপনার মেয়ের কাছ থেকে শিখতাছি। ,Personal
"নিব্বি প্রথম বার তার ফাকবয় বয়ফ্রেন্ড এর সাথে ডেট করার পর, জব্বর জোরে গুতিয়েছে রে। ",Personal
প্লিজ আমার ছবি তুলবেন না। ,Neutral
মরে যাও মুক্তি চাইনা।   তোমার মুক্তি দিয়া আমি কি করমু? ,Geopolitical
"গুরুপের সবাই লাইনে দাড়ান, ঈদ বোনাস দিমু। ",Neutral
লগি বৈঠার তান্ডবের কথা নতুন করে কি বলব? দেখুন আপনারাই। ,Personal
ধুমপানের কারণে বউ অন্যের কাছে চলে যায়। ,Personal
"ভাবী পাইয়া গেছি, ম্যানশন হপ্পে পরানের ভাইরে। ",Neutral
"তারপর যখন হঠাৎ এক সুন্দরী আমাকে বলে উঠে,  এই যে ভাইয়া শোনেন, তখন আমি, এখন আমার প্রথম কাজ হচ্ছে, মেয়েটার সামনে আলগা ভাব নেয়া। ",Neutral
দীর্ঘ সময় ধরে যৌন মিলনের কারণে ইনজুরিতে ওয়ার স্ত্রীর বেফাঁস মন্তব্য। ,Personal
"চুমাচুমি সরকারি প্রাথমিক বিদ্যালয়,এই স্কুল থেকেই আমি মেট্রিক পাশ করছি। ",Neutral
সরকারকে সরাসরি হুমকি দিলেন। কিন্তু সরকার কারো কথায় কান দিচ্ছে না। ,Political
নোবিতা তোর মাল তোকে ধোঁকা দিচ্ছে। ,Personal
মিমের সাথে আমার রিলেশন চলাকালীন মিমের জন্য পাগল হ্যান্ডসাম ছেলেটা। ,Neutral
"আনুষ্কার ধর্ষনের ভিডিও, কি নির্মম এবং নিষ্ঠুর আচরন দিহানের!",Personal
"আমার ঐসব আত্মীয়দের খুবই ভালো লাগে, যারা চলে যাওয়ার সময় হাতের মুঠোয় জোর করে টাকা গুঁজে দেয়। ",Neutral
স্যার কয়েক হাজার পৃষ্ঠা হোম ওয়ার্ক দেয়ার পর ক্লাসের টপারদের অবস্থা। ,Neutral
আমার ফ্রেন্ডদের কাজিন আর আমার কাজিন। ,Neutral
